,actors,average,country,director,genre,language,link,release_date,runtime,title,votes,writer
15,"['刘若英', '王朝明', '伍佰', '陈昭荣', '顾宝明', '金士杰']",7.8, 中国台湾,陈国富,"['剧情', '喜剧', '爱情']", 汉语普通话,https://movie.douban.com/subject/1307514/,1998-03-13(中国台湾),104分钟,征婚启事 徵婚啟事,17252,"['陈国富', '陈世杰']"
16,"['藤原龙也', '中岛美嘉', '田中圣', '木村了', '坛蜜', '哀川翔', '洼冢洋介', '池畑慎之介', '品川祐', '小杉龙一']",7.8, 日本,品川祐,"['剧情', '喜剧']", 日语,https://movie.douban.com/subject/21339392/,2014-04-01(日本),119分钟,三分之一 サンブンノイチ,9707,"['品川祐', '木下半太']"
17,"['帕特里克·布鲁尔', '瓦莱丽·本圭圭', '夏尔·贝尔林', '吉约姆·德·东克戴克', '朱迪斯·厄尔·泽恩', '弗兰西丝·法比安']",7.8, 法国,亚历山大·德·拉·巴特里耶,['喜剧'], 法语,https://movie.douban.com/subject/10521937/,2012-04-25(法国),109分钟,起名风波 Le prénom,5656,"['亚历山大·德·拉·巴特里耶', '马修·德拉波特']"
18,"['安迪·萨姆伯格', '奥兰多·布鲁姆', '弗莱迪·海默', '乔·巴克', '戴维德·迪格斯', '约翰·塞纳', '迈克·泰森', '兰斯·阿姆斯特朗', '埃里克·内宁格', '克里斯·韦伯', 'J·J·艾布拉姆斯', '埃德加·赖特', '克里斯·罗马诺', '莲妮·芭拉班', '塞思·莫里斯', '丽贝卡·达扬', '帕特里克·约翰·科斯特洛', '安迪·米尔德', '凯文·克拉什', '迈尔斯·布鲁尔', '乔恩·哈姆', '阿德沃尔·阿吉纽依-艾格拜吉', '凯文·贝肯', '内森·菲尔德', '威尔·福特', '丹尼·格洛弗', '杰夫·高布伦', '尤金娜·库日敏娜', '杜夫·龙格尔', '詹姆斯·麦斯登', '朱莉娅·奥蒙德', '菲利西亚·拉斯海德', '玛娅·鲁道夫']",7.8, 美国,杰克·西曼斯基,"['喜剧', '运动']", 英语 / 法语,https://movie.douban.com/subject/26855528/,2017-07-08(美国),39分钟,环药房自行车赛 Tour De Pharmacy,5707,['穆雷·米勒']
19,"['Janne Hyyti?inen', 'Maria Heiskanen', '伊尔卡·克伊瓦拉']",7.8, 芬兰 / 法国 / 德国,阿基·考里斯马基,"['剧情', '犯罪']", 芬兰语 / 俄语,https://movie.douban.com/subject/1472907/,2007/2/3,78 分钟,薄暮之光 Laitakaupungin valot,3794,['阿基·考里斯马基']
0,"['詹姆斯·诺顿', '夏莉·墨菲', '乔纳森·普雷斯', '克洛伊·皮里', '乔·阿姆斯特朗', '卢克·纽伯里', '托马斯·豪斯', '芬·阿特金斯', '丽贝卡·卡拉德', '罗里·弗莱克-拜恩', '大卫·沃姆斯利', '亚当·那加提斯', '托马斯·内尔斯特罗', '休·西蒙', '罗茜·布尔']",7.8, 英国,萨利·温莱特,"['剧情', '传记']", 英语,https://movie.douban.com/subject/26392856/,2016/12/29,120分钟,隐于书后 To Walk Invisible: The Bronte Sisters,3916,['萨利·温莱特']
1,"['坦纳·科恩', '马修·坎普', '拉蒙·奥尔默斯·托雷斯']",7.8, 美国,Cory James Krueckeberg,"['喜剧', '同性']", 英语,https://movie.douban.com/subject/23566157/,2013/4/3,91分钟,"我为勾勾狂 Getting Go, the Go Doc Project",3958,['Cory James Krueckeberg']
2,"['海伦娜·伯翰·卡特', '莱纳斯·罗彻', '阿历克斯·杰宁斯', '夏洛特·兰普林', '本·迈尔斯', '迈克尔·刚本', '艾丽森·艾略特', '伊丽莎白·麦戈文']",7.8, 美国 / 英国,伊恩·索夫特雷,"['剧情', '爱情']", 英语,https://movie.douban.com/subject/1294248/,1997-09-04(威尼斯电影节),102 分钟,鸽之翼 The Wings of the Dove,2555,"['亨利·詹姆斯', '霍辛·阿米尼']"
3,"['琼·克劳馥', '杰克·卡森', '扎查瑞·斯考特']",7.8, 美国,迈克尔·柯蒂兹,"['剧情', '爱情', '悬疑', '黑色电影']", 英语,https://movie.douban.com/subject/1297227/,1945/10/20,111 分钟,欲海情魔 Mildred Pierce,2190,['拉纳尔德·麦克杜格尔']
4,"['王晓棠', '于洋', '张勇手', '方辉', '胡敏英']",7.8, 中国大陆,严寄洲,"['爱情', '悬疑']", 汉语普通话,https://movie.douban.com/subject/1493578/,1958,87分钟,英雄虎胆,1675,['丁一三']
